"dataid","Id","Auditor__c","Date_of_Audit__c","Notes__c","Number_of_Floors__c","Number_of_Bedrooms__c","Construction_Year__c","Builder__c","Conditioned_Square_Footage__c","House_Volume_Cubic_Footage__c","Front_Door_Orientation__c","HVAC_Service_Company__c","Utilities__c","Foundation_Type__c","Type_of_Home__c","Number_of_Central_Heat_Pumps__c","Number_of_Central_AC_Systems__c","Number_of_AC_Window_Units__c","Number_of_Other_Cooling_Systems__c","Type_of_Other_Cooling_Systems__c","Number_of_Central_Gas_Heating_Systems__c","Number_of_Wall_Furnaces__c","Number_of_Gas_Space_Heaters__c","Number_of_Heat_Recovery_Systems__c","Number_of_Electric_Space_Heaters__c","Number_of_Hydronic_Space_Heaters__c","Description_Dedicated_Ventilation_Syst__c","Number_of_Manual_Thermostats__c","Number_of_Digital_Thermostats__c","Attic_Insulation_Notes__c","Total_Window_Square_Footage_N__c","Total_Window_Square_Footage_NW__c","Total_Window_Square_Footage_W__c","Total_Window_Square_Footage_SW__c","Total_Window_Square_Footage_S__c","Total_Window_Square_Footage_SE__c","Total_Window_Square_Footage_E__c","Total_Window_Square_Footage_NE__c","Solar_Screening_Film_Sqft_N__c","Solar_Screening_Film_Sqft_NW__c","Solar_Screening_Film_Sqft_W__c","Solar_Screening_Film_Sqft_SW__c","Solar_Screening_Film_Sqft_S__c","Solar_Screening_Film_Sqft_SE__c","Solar_Screening_Film_Sqft_E__c","Solar_Screening_Film_Sqft_NE__c","Window_Type__c","Skylights__c","Windows_Shading_Comments__c","Number_of_Exterior_Doors__c","Number_of_Weatherstripped_Exterior_Doors__c","Plumbing_Penetrations_Sealed__c","Fireplace__c","Fireplace_Vented_to_Outside__c","Fireplace_Damper_Operable__c","External_Combustion_Air_to_Fireplace__c","Blower_Door_Test_1_15_Pa__c","Blower_Door_Test_2_30_Pa__c","Blower_Door_Test_3_50_Pa__c","ACH50_Calculation__c","Air_Infiltration_Comments__c","Attic_Floor_Square_Footage__c","Attic_Insulation_Type_R_Value__c","Attic_Average_Insulation_Depth_in__c","Attic_Insulation_Secured__c","Openings_Between_Floors__c","Radiant_Barrier__c","Attic_Access_in_Conditioned_Space__c","Attic_Hatch_Stair_Box_Insulated__c","Properly_Sealed_Protrusions__c","Total_Number_of_Windows__c","Significant_Shade__c","Distance_From_Neighbors__c","Thermostats_are_Programmable__c","Blower_Door_Test_Time__c","Total_R_Value_of_Attic__c","Audit_Completion_Status__c"
26,"a0RG000000XRANGMA5","Scott Grantham","2014-09-10","11.5 ft ceilings in 20% of the house. 10 ft in rest of the house.","1","3","2008","Standard Pacific","2075","21373","W","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Attic is over main house and garage - no division between conditioned and unconditioned spaces below.","35.00","0.00","70.00","0.00","87.00","0.00","93.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","","2","2","1","1","1","1","0","741.00","1180.00","1600.00","4.52","Wood burning fireplace","2475","Cellulose (3.5)","12.00","0","0","1","No","Yes","Yes","19","0","10","1","9:00 AM","42.00","Quality Checked and Sent to Participant"
94,"a0RG000000Sc7RFMAZ","Scott Grantham","2014-04-07","","1","3","1975","Unknown","1713","14216","SE","Green air conditioning and heating","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","New ac condenser unit and furnace","0","1","7"" rock wool topped with 7"" cellulose. Some fiberglass batts around hatch.","0.00","85.00","0.00","14.00","0.00","34.00","0.00","21.00","0","0","0","14","0","0","0","0","Double-pane;Vinyl","0","The only window that faces southwest has solar film.","3","3","1","1","1","1","1","792.00","1240.00","1740.00","7.30","","1713","Cellulose (3.5);Rockwool (2.9);Fiberglass Batts (3.2)","14.00","0","0","0","Yes","Yes","Yes","14","1",">= 20","1","10:30 AM","45.00","Quality Checked and Sent to Participant"
370,"a0RG000000Sc7Q2MAJ","Scott Grantham","2014-04-03","Very high ceilings 12 ft at minimum, and 15 feet in about 30% of the house.","1","3","2007","Streetman","2680","34572","S","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N//A","1","0","0","0","0","0","","0","1","Home has a metal roof. PSF spray foam on entire ceiling of attic. Second attic above the garage is sealed off from building envelope with knee wall.","18.00","0.00","62.00","0.00","87.00","0.00","103.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl;Clad wood","0","","2","2","1","1","1","1","1","781.00","1190.00","1650.00","2.90","","2680","PSF (6.0)","7.00","0","0","0","Both","No","Yes","30","0","10","1","10:30 AM","42.00","Quality Checked and Sent to Participant"
410,"a0RG000000SaPhKMAV","Scott Grantham","2014-02-26","","1","3","1953","Unknown","1152","9216","W","None","Electricity;Natural Gas","Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Attic over garage and house. No knee wall in attic between conditioned and unconditioned space below.","6.00","0.00","50.00","0.00","48.00","0.00","61.00","0.00","0","0","0","0","0","0","0","0","Single-pane;Clad wood","0","All windows except one are single pane clad wood. One north facing window is double pane vinyl.","2","2","1","0","0","0","0","890.00","1480.00","2180.00","14.20","","1352","Cellulose (3.5)","7.00","0","0","0","No","No","Yes","16","0","15","1","2:00 PM","24.50","Quality Checked and Sent to Participant"
545,"a0RG000000PpXsXMAV","Scott Grantham","2013-10-22","","2","4","2007","Meritage","2345","21105","S","Casa Mechanical Services","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","","1","0","0","0","0","0","","0","2","","75","","163","","125","","89","","","","","","","","","","Double-pane;Low-e;Metal","0","41 windows. Pergola planned that will shade west facing windows.","5","5","1","0","0","0","0","1010.00","1625.00","2250.00","6.40","","","Cellulose (3.5)","14.00","0","0","1","Yes","Yes","Yes","40","0","15","1","3:00 PM","49.00","Quality Checked and Sent to Participant"
624,"a0RG000000Qu66UMAR","Richard Smith","2013-11-27","remodel & addition 2012","2","4","1948","Original house unknown, addition was built by residents","2200","28798","SW","RM Mechanical","Electricity","Slab","Single-Family","1","1","0","0","N/A","0","0","0","0","1","0","1 electric heat pump and central air system","0","3","spray foam at roof, fiberglass bats on ceiling.  Total R Value is the sum of both insulation layers.","0.00","23.00","0.00","76.00","0.00","67.00","0.00","78.00","0","0","0","0","0","0","0","0","Double-pane;Low-e","1","Window are Low E double pane with fiberglass frames.  Large trees and porch shading on the SW side.","2","2","1","1","1","1","0","800.00","1340.00","1900.00","4.10","secondary chimney blocker.","1050","Fiberglass/Insulsafe (2.2);PSF (6.0)","6.00","1","0","0","Yes","No","Yes","21","1","15","1","10:30 AM","41.00","Quality Checked and Sent to Participant"
936,"a0RG000000SZsHBMA1","Scott Grantham","2014-02-17","","1","3","1955","Unknown","1736","13888","N","None","Electricity;Natural Gas","Slab","Single-Family","0","1","1","0","N/A","1","0","0","0","0","0","Garage has window unit, and is outside building envelope.","0","1","Attic entry over garage. No knee wall between garage and main part of house, no division in attic between conditioned and unconditioned space below. Attic uninsulated above garage.","48","0","0","0","108","0","28","0","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","Windows were all replaced in 2012 with double-paned, low-e windows.","2","2","1","0","0","0","0","706.00","1120.00","1590.00","6.80","Found some areas around rear door frame which were not well sealed and in need of caulking.","1736","Cellulose (3.5)","18.00","0","0","0","No","No","Yes","17","0","15","1","4:00 PM","63.00","Quality Checked and Sent to Participant"
1697,"a0RG000000Sb8TyMAJ","Scott Grantham","2014-03-13","","2","4","2008","David Weekly","2236","21568","W","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","2","Two attics. One entry is over garage. There is a knee wall, but it doesnt clearly line up with conditioned space below.","115.00","0.00","54.00","0.00","137.00","0.00","36.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Metal","0","","2","2","1","0","0","0","0","386.00","719.00","1070.00","3.00","","1650","Fiberglass/Insulsafe (2.2)","12.00","0","0","1","Both","Yes","Yes","28","0","10","1","11:30 AM","26.00","Quality Checked and Sent to Participant"
1953,"a0RG000000QtlV2MAJ","Scott Grantham","2013-11-22","Addition was added in the late 1980s - approximately 300 sf of the total 1512 sf.","1","3","1948","Unknown","1512","12096","SW","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Approximately 3"" of fiberglass and 3"" of cellulose.","0.00","89.00","0.00","48.00","0.00","46.00","0.00","101.00","0","0","0","0","0","0","0","0","Single-pane;Double-pane;Vinyl;Metal","0","Most windows are original metal. Can feel air coming through around the sides. Windows in addition are vinyl and double paned.","2","1","1","1","1","1","0","953.00","1525.00","2005.00","10.00","One door has old and worn weatherstripping.","1512","Fiberglass/Insulsafe (2.2);Cellulose (3.5)","6.00","0","0","0","No","Yes","Yes","22","1","15","1","3:30 PM","17.00","Quality Checked and Sent to Participant"
2156,"a0RG000000SZ3RpMAL","Scott Grantham","2014-02-04","Condo apartment unit on 7th floor of mid rise building. No gas service.","1","3","1983","Unknown","1743","13944","E","None","Electricity","Slab","Apartment","1","1","0","0","N/A","0","0","0","0","0","0","","0","1","There is not attic and no access to the ductwork, which is between floors of the building.","0.00","0.00","74.00","0.00","184.00","0.00","0.00","0.00","0","0","0","0","0","0","0","0","Single-pane;Metal","0","Front door faces into building hallway. There are two large sliding glass doors which face west and make up a large portion of the west facing wall of the condo. Sliding doors are not weatherstripped, and drafts can be observed from them.","2","0","1","0","0","0","0","343.00","1615.00","2435.00","10.20","No weatherstripping on the two exterior sliding glass doors.","0","","","0","0","0","N/A (No Attic)","N/A (No Attic)","","13","0","0","1","10:30 AM","","Quality Checked and Sent to Participant"
2242,"a0RG000000QtYPcMAN","Scott Grantham","2013-11-19","","2","5","1999","Newmark Homes","3489","33105","N","All Star","Electricity;Natural Gas","Slab","Single-Family","0","2","0","0","N/A","2","0","0","0","0","0","","0","2","Stair box insulation is incomplete. Secondary attic above garage has fiberglass insulation.","205.00","0.00","29.00","0.00","353.00","0.00","19.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","Very large south facing windows. Some have interior shutters. Solar shading recommended to reduce heat transfer.","2","2","1","1","1","1","1","1455.00","2365.00","3110.00","5.60","","2097","Fiberglass/Insulsafe (2.2);Cellulose (3.5)","15.00","0","1","0","Yes","No","Yes","40","0","15","1","12:00 PM","52.00","Quality Checked and Sent to Participant"
2365,"a0RG000000SZYzsMAH","Scott Grantham","2014-02-12","Original 1930 home was one story, approximately 1240 square feet, pier and beam. Addition was built on to back in 2010 on concrete slab, approximately 1300 square feet, including 650 1st floor and 650 2nd floor.","2","4","1930","Unknown","2540","23332","SE","East side environmental air","Electricity;Natural Gas","Slab;Pier and Beam","Single-Family","0","2","0","0","None","2","0","0","0","0","0","","0","2","There are 2 attics - one over old part of house and one over addition. Old part has no radiant barrier and new rockwool blown in over old rock wool. New part has fiberglass and a radiant barrier.","0","61","0","169","0","58","0","73","0","34","0","34","0","0","0","0","Single-pane;Double-pane;Vinyl;Clad wood","0","Older part of house has original wood clad windows, which are observably leaky. Newer part has vinyl double paned windows.","3","2","1","1","1","1","0","2085.00","3385.00","4890.00","12.70","","1890","Fiberglass/Insulsafe (2.2);Rockwool (2.9)","6.00","0","0","1","Yes","Yes","Yes","38","0",">= 20","1","3:00 PM","15.80","Quality Checked and Sent to Participant"
2470,"a0RG000000PpEuFMAV","Scott Grantham","2013-10-16","","2","3","2008","Meritage","1544","13896","S","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","0","0","0","0","0","0","","0","2","","32","0","13","0","76","0","26","0","0","0","0","0","0","0","0","0","Double-pane;Vinyl;Metal","0","","2","2","1","0","0","0","0","735.00","1220.00","1755.00","7.50","","448","Cellulose (3.5)","14.00","0","1","1","Yes","Yes","Yes","15","0","10","1","4:30 PM","49.00","Quality Checked and Sent to Participant"
2606,"a0RG000000Sb2eZMAR","Fabio Ferrera (We Green Inc.)","2013-11-16","New home, tri-level town home. Distance: Shares back wall & part of left wall. Utility: SDG&E","3","2","2012","Unknown","1598","15984","W","N/A","Electricity;Natural Gas","Slab","Town Home","0","1","0","0","N/A","1","0","0","0","0","0","3 - Bathroom exhaust fans, 1 fan hood, 1 dryer","0","1","1/2 Fiberglass Batts (3.0) 12""                   1/2 Cellulose (3.5) 8"". Openings between floors: Yes. Partially open between floors 2-3.","56.00","0.00","97.00","0.00","140.00","0.00","0.00","0.00","0","0","0","0","0","0","0","0","Double-pane vinyl;Low E","0","Automatic electronic shading system","1","1","1","0","0","0","0","554.00","991.00","1407.00","5.28","Normal","720","Cellulose (3.5);Fiberglass Batts (3.2)","10.00","1","1","0","Yes","No","Yes","21","0","0","1","10:30 AM PST","32.00","Quality Checked, Not Sent to Participant"
2814,"a0RG000000Sc7QHMAZ","Scott Grantham","2014-04-04","","2","3","2009","David Weekly","1842","19607","E","Christianson","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","2","2 attic entrances. Some fiberglass batts, mostly cellulose.","52.00","0.00","52.00","0.00","30.00","0.00","57.00","0.00","0","0","47","0","17","0","57","0","Double-pane;Low-e;Metal","0","Most south, east, and west-facing windows have solar screens.","2","2","1","0","0","0","0","448.00","679.00","1035.00","3.20","","1379","Cellulose (3.5);Fiberglass Batts (3.2)","9.00","0","0","1","Both","Yes","Yes","17","0","10","1","11:00 AM","31.00","Quality Checked and Sent to Participant"
2829,"a0RG000000PpXsmMAF","Scott Grantham","2013-10-23","","1","3","1942","Unknown","1485","13771","W","None","Electricity;Natural Gas","Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Rockwool, topped with fiberglass. Total R-value based on average depths.","26.00","0.00","49.00","0.00","32.00","0.00","127.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Clad wood","1","South side has just a few windows. There are several east facing skylights.","4","4","1","0","0","0","0","330.00","544.00","794.00","3.50","","1031","Fiberglass/Insulsafe (2.2);Rockwool (2.9)","10.00","0","0","1","Yes","Yes","Yes","26","1",">= 20","1","11:00 AM","26.20","Quality Checked and Sent to Participant"
2953,"a0RG000000PpXusMAF","Scott Grantham","2013-10-25","","1","3","1957","Nash Phillips Copus","1482","11856","S","Green air conditioning","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Attic access over garage - no knee wall in attic to separate conditioned from unconditioned space below.","66.00","0.00","6.00","0.00","76.00","0.00","50.00","0.00","35","0","6","0","50","0","50","0","Single-pane;Metal","1","1 south facing skylight","2","1","0","0","0","0","0","803.00","1290.00","1860.00","9.20","Weatherstripping is virtually nonexistent on front door. Plumbing penetrations could be better sealed.","1672","Rockwool (2.9)","8.00","0","0","0","No","No","Yes","16","1","15","1","3:30 PM","23.20","Quality Checked and Sent to Participant"
3036,"a0RG000000PpXs3MAF","Scott Grantham","2013-10-22","Town house style home, free standing, no shared walls.","3","3","2011","David Weekly","2100","19014","S","None","Electricity;Natural Gas","Slab","Town Home","0","1","0","0","N/A","1","0","0","0","0","0","","0","2","","40.00","0.00","0.00","0.00","86.00","0.00","122.00","0.00","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","Tested upstairs windows during blower door test and found them to be very leaky.","2","2","1","0","0","0","0","577.00","1030.00","1455.00","4.60","Two doors to attic have minimal weatherstripping.","363","Cellulose (3.5)","11.00","0","0","1","Yes","Yes","Yes","24","0","10","1","10:30 AM","39.00","Quality Checked and Sent to Participant"
3367,"a0RG000000SZ3RuMAL","Scott Grantham","2014-02-05","","2","4","2007","Standard pacific","2843","27674","N","Casa mechanical","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","2","","136","0","124","0","85","0","61","0","0","0","0","0","0","0","0","0","Double-pane;Low-e;Vinyl","0","","3","3","1","0","0","0","0","896.00","1800.00","2650.00","5.80","","1457","Cellulose (3.5)","12.00","0","0","1","Yes","Yes","Yes","32","0","10","1","10:30 AM","42.00","Quality Checked and Sent to Participant"
4298,"a0RG000000S4b75MAB","Scott Grantham","2014-01-22","","1","2","1947","Giles","953","7700","N","John Wrigley","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Radiant barrier is coming off the roof in large sheets. Protrusions that are not sealed  properly. Many areas with little insulation.","37.00","0.00","19.00","0.00","11.00","0.00","22.00","0.00","0","0","0","0","0","0","0","0","Single-pane;Metal","0","West facing windows have solar film applied. Windows are original 1940s casement and are observably leaky.","3","0","0","1","0","1","0","952.00","1465.00","1970.00","15.20","Weatherstripping is very old and ineffective. Plumbing penetrations not sealed. Fireplace is completely sealed off from the top and flue is closed.","953","Fiberglass/Insulsafe (2.2)","6.00","0","0","0","Yes","No","No","10","0","15","1","12:00 PM","13.20","Quality Checked and Sent to Participant"
4922,"a0RG000000PpsVgMAJ","Scott Grantham","2013-10-29","Second floor was original building. In 2008, it was raised up and a new first floor was constructed - much of home was reconstructed in 2008. Original home was pier and beam - garage is now concrete slab.","2","3","1985","Escarpment construction","2236","18844","E","None","Electricity;Natural Gas","Slab;Pier and Beam","Single-Family","1","1","0","0","N/A","0","0","0","0","0","4","Perimeter foundation with central supported beam. 4-5 portable electric heaters.","0","1","Attic extremely well sealed with PSF insulation lining the roof timbers.","124","0","31","0","23","0","96","0","0","0","0","0","0","0","0","0","Double-pane;Vinyl","0","","1","1","1","0","0","0","0","434.00","712.00","993.00","3.20","","1280","PSF (6.0)","6.00","0","0","0","Yes","Yes","Yes","26","1",">= 20","1","10:00 AM","36.00","Quality Checked and Sent to Participant"
4957,"a0RG000000PpEuAMAV","Scott Grantham","2013-10-16","","2","4","2006","Taylor Morrison","3381","34335","NE","None","Electricity;Natural Gas","Slab","Single-Family","0","2","0","0","N/A","2","0","0","0","0","0","","0","2","One layer of fiberglass topped by cellulose","0.00","16.00","0.00","65.00","0.00","53.00","0.00","175.00","0","0","0","0","0","0","0","0","Double-pane;Metal","0","","2","2","1","1","1","1","1","1440.00","2120.00","2445.00","4.30","Plumbing penetration under kitchen sink could use better sealing. Secondary attic is over unconditioned space and is well insulated along the wall of the building envelope.","1246","Fiberglass/Insulsafe (2.2);Cellulose (3.5)","15.00","0","0","1","Yes","Yes","Yes","23","0","15","1","11:30 AM","46.00","Quality Checked and Sent to Participant"
5677,"a0RG000000PpXtVMAV","Scott Grantham","2013-10-23","House is oriented northwest, front door faces southwest.","1","2","1948","Unknown","996","8217","SW","McCullough","Electricity;Natural Gas","Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Fiberglass insulation as a base layer with rockwool on top.","0.00","55.00","0.00","50.00","0.00","33.00","0.00","30.00","0","25","0","0","0","0","0","0","Single-pane;Clad wood","0","2 solar screens on front windows of house.","3","3","0","0","0","0","0","789.00","1170.00","1610.00","11.80","Weatherstripping is very old, has gaps and is coming detached in places. Plumbing penetrations not sealed under sink.","996","Rockwool (2.9);Fiberglass Batts (3.2)","10.00","1","0","0","Yes","Yes","Yes","15","1","15","1","3:30 PM","29.00","Quality Checked and Sent to Participant"
5746,"a0RG000000SYgIIMA1","Scott Grantham","2014-01-30","","1","3","1950","Unknown","1768","14144","N","None","Electricity;Natural Gas","Slab","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","","148","14","48","14","77","0","54","0","0","0","0","0","0","0","0","0","Single-pane;Metal","0","Windows are mostly metal clad. Single pane and participant is using storm windows, providing a second layer","4","4","1","0","0","0","0","1260.00","2070.00","2810.00","12.00","","1768","Cellulose (3.5)","9.00","0","0","0","Yes","Yes","Yes","30","0",">= 20","1","10:30 AM","31.50","Quality Checked and Sent to Participant"
5814,"a0RG000000Sb5xcMAB","Scott Grantham","2014-03-12","","1","2","1951","Unknown","1080","8640","E","None","Electricity;Natural Gas","Pier and Beam","Single-Family","0","1","0","0","N/A","1","0","0","0","0","0","","0","1","Access is small square hatch that is not insulated.","5.00","0.00","29.00","0.00","52.00","0.00","36.00","0.00","0","0","0","0","0","0","0","0","Single-pane;Clad wood","0","Windows are almost all original 1950s. One is new projecting window, constructed of metal.","2","1","1","0","0","0","0","717.00","1190.00","1665.00","11.40","Front door is not adequately weather stripped.","1080","Rockwool (2.9)","6.00","0","0","1","Yes","No","Yes","14","0","10","1","10:00 AM","17.40","Quality Checked and Sent to Participant"
5909,"a0RG000000Sb2ebMAB","Fabio Ferrera (We Green Inc.)","2013-12-11","2nd Floor one-level/no attic. Distance: Shares both side walls. Significant shade: Front walkway, 7. Utility: SDG&E","1","1","2012","Unknown","720","6480","NW","N/A","Electricity;Natural Gas","Adiabatic Frame Floor","Apartment","1","1","0","0","N/A","0","0","0","0","0","0","1 Bathroom exhaust fan, 1 Range Hood","0","1","N/A","0.00","0.00","0.00","0.00","0.00","84.00","0.00","0.00","0","0","0","0","0","0","0","0","Double-pane vinyl","0","Sliding Door, 7 balcony","1","2","1","0","0","0","0","336.00","524.00","739.00","6.84","Good","0","","","0","0","0","N/A (No Attic)","N/A (No Attic)","Yes","2","1","0","1","11:00 AM PST","","Quality Checked, Not Sent to Participant"
