dataid,localhour,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/1/2014 0:00,,,,,,,,,,,,,,,0,,,,0.005,,,,,0.03805,0.133616667,,,,,,,0.14435,,,,0.000433333,0,,,,,,,,,0.000916667,,,,,,,,,,,,,0.0572,,,,,,,,0
9737,1/1/2014 1:00,,,,,,,,,,,,,,,0,,,,0.005,,,,,0.0381,0.007,,,,,,,0.063966667,,,,0.000583333,0,,,,,,,,,0,,,,,,,,,,,,,0.066316667,,,,,,,,0.04625
9737,1/1/2014 2:00,,,,,,,,,,,,,,,0.00085,,,,0.005,,,,,0.194816667,0.229666667,,,,,,,0.021483333,,,,0,0,,,,,,,,,0.001583333,,,,,,,,,,,,,0.061233333,,,,,,,,0
9737,1/1/2014 3:00,,,,,,,,,,,,,,,6.67E-05,,,,0.005,,,,,0.0552,0.417683333,,,,,,,0.0214,,,,0.000683333,0,,,,,,,,,0.003583333,,,,,,,,,,,,,0.05715,,,,,,,,0
9737,1/1/2014 4:00,,,,,,,,,,,,,,,0.00045,,,,0.005,,,,,0.243883333,0.022283333,,,,,,,0.02125,,,,0,0,,,,,,,,,0.0001,,,,,,,,,,,,,0.034433333,,,,,,,,0
9737,1/1/2014 5:00,,,,,,,,,,,,,,,0,,,,0.005,,,,,0.185383333,0.187983333,,,,,,,0.01395,,,,0.000666667,0,,,,,,,,,0.00175,,,,,,,,,,,,,0.041116667,,,,,,,,0.00835
9737,1/1/2014 6:00,,,,,,,,,,,,,,,0.00015,,,,0.005,,,,,0.733216667,0.006966667,,,,,,,0.017616667,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,0.06215,,,,,,,,0.037566667
9737,1/1/2014 7:00,,,,,,,,,,,,,,,0,,,,0.005,,,,,0.158533333,0.007,,,,,,,0.021233333,,,,0.000566667,0,,,,,,,,,0.033116667,,,,,,,,,,,,,0.061233333,,,,,,,,0
9737,1/1/2014 8:00,,,,,,,,,,,,,,,0.000116667,,,,0.004783333,,,,,0.036716667,0.007,,,,,,,0.0215,,,,0.107933333,0.00005,,,,,,,,,0.028383333,,,,,,,,,,,,,0.057116667,,,,,,,,0
9737,1/1/2014 9:00,,,,,,,,,,,,,,,0.020283333,,,,0.005433333,,,,,0.1614,0.007183333,,,,,,,0.021483333,,,,0.123516667,0,,,,,,,,,0.0001,,,,,,,,,,,,,0.04255,,,,,,,,0
9737,1/1/2014 10:00,,,,,,,,,,,,,,,0.060883333,,,,0.006333333,,,,,0.040066667,0.007683333,,,,,,,0.065716667,,,,0.045766667,0,,,,,,,,,0.032216667,,,,,,,,,,,,,0.032516667,,,,,,,,0.04695
9737,1/1/2014 11:00,,,,,,,,,,,,,,,0,,,,0.005016667,,,,,0.0391,0.0068,,,,,,,0.14895,,,,0.008983333,0,,,,,,,,,0,,,,,,,,,,,,,0.05485,,,,,,,,0
