dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/31/2013 0:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0352,0.0082,0.241,,,,,,0.013533333,,,,,,0.003,,,,,,0.119066667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 23:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.362333333,0.2416,,,,,,0.032133333,,,,,,0.003533333,,,,,,0.118733333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 23:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035733333,0.0152,0.242533333,,,,,,0.014,,,,,,0.0016,,,,,,0.1198,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 23:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0354,0.008,0.241266667,,,,,,0.032,,,,,,0.0028,,,,,,0.118866667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 23:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035266667,0.008,0.2404,,,,,,0.0128,,,,,,0.003,,,,,,0.118066667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 22:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035066667,0.008533333,0.2404,,,,,,0.0332,,,,,,0.0028,,,,,,0.118066667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 22:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035,0.0086,0.241,,,,,,0.013266667,,,,,,0.0028,,,,,,0.117933333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 22:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035133333,0.008,0.2408,,,,,,0.0324,,,,,,0.0028,,,,,,0.116933333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 22:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.1972,0.0082,0.2418,,,,,,0.019933333,,,,,,0.003466667,,,,,,0.117133333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 21:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.471933333,0.008,0.2426,,,,,,0.026266667,,,,,,0.004133333,,,,,,0.116133333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 21:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.008,0.240066667,,,,,,0.0212,,,,,,0.0028,,,,,,0.113266667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 21:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0346,0.008,0.2406,,,,,,0.024333333,,,,,,0.0028,,,,,,0.112333333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 21:00,,,,,,,,,,,,,,,0,,0.000933333,,0.005,,,,,0.034133333,0.007866667,0.245533333,,,,,,0.0298,,,,,,0.0024,,,,,,0.1236,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 20:45,,,,,,,,,,,,,,,0,,0.0078,,0.004133333,,,,,0.0346,0.007,0.273333333,,,,,,0.0168,,,,,,0,,,,,,0.344866667,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 20:30,,,,,,,,,,,,,,,0,,0.007866667,,0.0042,,,,,0.034866667,0.007,0.271933333,,,,,,0.0322,,,,,,0,,,,,,0.344533333,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 20:15,,,,,,,,,,,,,,,0,,0.008,,0.004066667,,,,,0.034733333,0.007,0.272733333,,,,,,0.014333333,,,,,,0,,,,,,0.2508,,,,0,,,,,,,,,,,,,,,0,,,,
